1. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0020.html           score=0.37781322
23. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2672.html           score=0.123151705
24. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2371.html           score=0.12191397
25. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1435.html           score=0.12041336
26. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2742.html           score=0.12041336
27. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1748.html           score=0.1066525
28. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2320.html           score=0.1066525
29. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3128.html           score=0.1066525
30. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1753.html           score=0.10449769
31. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2080.html           score=0.10449769
32. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2228.html           score=0.10449769
33. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3073.html           score=0.10449769
34. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0618.html           score=0.09852137
35. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1198.html           score=0.09852137
36. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1846.html           score=0.09852137
37. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3184.html           score=0.09852137
38. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1235.html           score=0.096330695
39. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1892.html           score=0.096330695
40. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2535.html           score=0.096330695
41. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2767.html           score=0.096330695
42. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1438.html           score=0.09038525
43. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1563.html           score=0.09038525
44. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2150.html           score=0.0870814
45. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2912.html           score=0.0870814
46. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2920.html           score=0.0870814
47. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3039.html           score=0.0870814
48. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3078.html           score=0.0870814
49. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1541.html           score=0.08620619
50. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2895.html           score=0.08620619
51. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2378.html           score=0.08532201
52. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1441.html           score=0.07989003
53. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2210.html           score=0.07989003
54. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2705.html           score=0.07989003
55. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3020.html           score=0.07989003
56. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1008.html           score=0.07908709
57. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1110.html           score=0.07908709
58. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1233.html           score=0.07908709
59. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1383.html           score=0.07908709
60. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1631.html           score=0.07908709
61. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1673.html           score=0.07908709
62. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1707.html           score=0.07908709
63. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2185.html           score=0.07908709
64. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2409.html           score=0.07908709
65. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1135.html           score=0.074656755
66. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0224.html           score=0.07389103
67. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0825.html           score=0.07389103
68. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1199.html           score=0.07389103
69. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1458.html           score=0.07389103
70. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1587.html           score=0.07389103
71. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1828.html           score=0.07389103
72. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1960.html           score=0.07389103
73. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2327.html           score=0.07389103
74. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2519.html           score=0.07389103
75. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2581.html           score=0.07389103
76. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2848.html           score=0.07389103
77. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3140.html           score=0.07389103
78. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1272.html           score=0.06966513
79. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0095.html           score=0.06778894
80. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0111.html           score=0.06778894
81. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-0298.html           score=0.06778894
82. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1216.html           score=0.06778894
83. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1382.html           score=0.06778894
84. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1535.html           score=0.06778894
85. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1554.html           score=0.06778894
86. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1678.html           score=0.06778894
87. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1809.html           score=0.06778894
88. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1947.html           score=0.06778894
89. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2062.html           score=0.06778894
90. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2836.html           score=0.06778894
91. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2866.html           score=0.06778894
92. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2900.html           score=0.06778894
93. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2953.html           score=0.06778894
94. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-3068.html           score=0.06778894
95. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1886.html           score=0.06391202
96. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-2203.html           score=0.06391202
97. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1308.html           score=0.061575852
98. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1385.html           score=0.061575852
99. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1518.html           score=0.061575852
100. /Users/manusaxena/Documents/InformationRetreival/cacm/CACM-1706.html           score=0.061575852
